Result,Sex,Age,OtherSpecies,id,name,lat,long,farm_type,County
1,H         ,18,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
1,H         ,60,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
1,H         ,60,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
0,H         ,36,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
0,H         ,50,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
0,H         ,16,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
0,M         ,15,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
0,M         ,22,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
0,M         ,30,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
0,H         ,14,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
0,M         ,18,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
0,H         ,12,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
0,M         ,14,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
0,H         ,12,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
0,M         ,12,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
1,H         ,120,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
0,H         ,42,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
1,H         ,72,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
1,H         ,120,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
1,H         ,72,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
0,H         ,24,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
1,M         ,72,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
1,H         ,60,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
0,H         ,28,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
1,H         ,72,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
0,H         ,28,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
0,H         ,19,0,23,Armstrong Research Farm,41.308228,-95.172079,sow farm,Pottawattamie
1,M         ,40,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,M         ,8,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
0,H         ,12,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,20,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,50,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,60,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
