lat,long,date,year,order
42.0068312,-93.6169016,1/21/05,2005,1
42.2592914,-91.15566,1/27/05,2005,2
42.0068312,-93.6169016,2/10/05,2005,3
41.717025,-92.655796,3/4/05,2005,4
41.8911975,-92.0667943,4/17/05,2005,5
41.717025,-92.655796,4/22/05,2005,6
43.1120756,-94.7651596,4/28/05,2005,7
42.3051172,-93.2986595,5/10/05,2005,8
41.8911975,-92.0667943,6/6/05,2005,9
42.1065827,-93.5898065,6/8/05,2005,10
41.9194788,-91.4939029,6/9/05,2005,11
42.3051172,-93.2986595,6/22/05,2005,12
42.6633136,-93.6363036,7/1/05,2005,13
42.2592914,-91.15566,7/21/05,2005,14
41.308228,-95.172079,8/11/05,2005,15
41.714686,-90.692308,9/28/05,2005,16
42.6633136,-93.6363036,10/15/05,2005,17
41.6489342,-93.6241635,10/23/05,2005,18
43.4569006,-92.2801707,11/7/05,2005,19
42.504888,-93.263227,12/5/05,2005,20
41.3323455,-92.6214516,12/18/05,2005,21
42.1065827,-93.5898065,1/24/06,2006,22
41.6489342,-93.6241635,1/27/06,2006,23
43.1120756,-94.7651596,3/5/06,2006,24
43.1120756,-94.7651596,4/29/06,2006,25
42.0068312,-93.6169016,5/4/06,2006,26
42.2592914,-91.15566,6/6/06,2006,27
42.8911572,-92.3373371,6/10/06,2006,28
41.7171297,-92.7377208,7/4/06,2006,29
41.5618812,-94.8846865,7/8/06,2006,30
41.2714117,-92.0118848,7/9/06,2006,31
42.6633136,-93.6363036,8/13/06,2006,32
41.2269856,-93.926506,9/9/06,2006,33
41.8911975,-92.0667943,9/22/06,2006,34
41.717025,-92.655796,10/10/06,2006,35
41.7171297,-92.7377208,11/3/06,2006,36
42.538728,-92.104784,11/9/06,2006,37
41.9194788,-91.4939029,11/21/06,2006,38
41.717025,-92.655796,12/9/06,2006,39
42.4464692,-96.252942,12/11/06,2006,40
42.0068312,-93.6169016,12/20/06,2006,41
41.620073,-90.648988,12/21/06,2006,42
41.834648,-91.819823,12/30/06,2006,43
43.0846442,-91.5691761,12/31/06,2006,44
43.1120756,-94.7651596,1/22/07,2007,45
41.2269856,-93.926506,2/1/07,2007,46
41.714686,-90.692308,2/6/07,2007,47
42.1065827,-93.5898065,3/11/07,2007,48
43.0826109,-91.5668183,3/21/07,2007,49
42.504888,-93.263227,3/21/07,2007,50
42.3051172,-93.2986595,4/8/07,2007,51
41.9194788,-91.4939029,4/9/07,2007,52
41.6489342,-93.6241635,4/16/07,2007,53
41.6489342,-93.6241635,4/19/07,2007,54
41.4651246,-95.8287813,5/19/07,2007,55
41.9194788,-91.4939029,5/20/07,2007,56
42.3051172,-93.2986595,5/27/07,2007,57
42.1065827,-93.5898065,7/10/07,2007,58
41.4651246,-95.8287813,8/3/07,2007,59
41.6489342,-93.6241635,8/16/07,2007,60
41.308228,-95.172079,9/6/07,2007,61
41.717025,-92.655796,10/10/07,2007,62
42.0068312,-93.6169016,10/27/07,2007,63
41.7019449,-91.4733845,1/9/08,2008,64
43.1120756,-94.7651596,1/10/08,2008,65
43.091079,-91.8276998,1/25/08,2008,66
42.0068312,-93.6169016,1/26/08,2008,67
43.1120756,-94.7651596,2/14/08,2008,68
41.6489342,-93.6241635,3/22/08,2008,69
41.2269856,-93.926506,4/23/08,2008,70
41.308228,-95.172079,4/28/08,2008,71
43.0826109,-91.5668183,5/27/08,2008,72
42.4171026,-92.6907336,6/5/08,2008,73
41.9194788,-91.4939029,6/9/08,2008,74
41.3323455,-92.6214516,6/13/08,2008,75
42.538728,-92.104784,8/18/08,2008,76
42.8578865,-93.6168666,8/19/08,2008,77
42.8578865,-93.6168666,9/8/08,2008,78
41.876996,-91.470841,10/5/08,2008,79
43.1120756,-94.7651596,10/13/08,2008,80
41.620073,-90.648988,11/5/08,2008,81
42.1065827,-93.5898065,11/10/08,2008,82
42.6633136,-93.6363036,11/19/08,2008,83
43.0826109,-91.5668183,11/21/08,2008,84
42.504888,-93.263227,11/24/08,2008,85
41.2714117,-92.0118848,12/21/08,2008,86
42.0068312,-93.6169016,1/24/09,2009,87
41.3323455,-92.6214516,1/27/09,2009,88
41.6489342,-93.6241635,2/17/09,2009,89
42.538728,-92.104784,2/19/09,2009,90
42.8911572,-92.3373371,2/25/09,2009,91
41.620073,-90.648988,3/8/09,2009,92
41.9194788,-91.4939029,3/24/09,2009,93
42.538728,-92.104784,4/17/09,2009,94
42.8911572,-92.3373371,4/22/09,2009,95
41.2269856,-93.926506,5/3/09,2009,96
41.8911975,-92.0667943,5/29/09,2009,97
41.3323455,-92.6214516,6/24/09,2009,98
41.9194788,-91.4939029,6/24/09,2009,99
41.7019449,-91.4733845,7/26/09,2009,100
42.504888,-93.263227,7/28/09,2009,101
42.4464692,-96.252942,9/13/09,2009,102
42.8911572,-92.3373371,9/24/09,2009,103
41.308228,-95.172079,9/27/09,2009,104
41.308228,-95.172079,9/28/09,2009,105
42.1065827,-93.5898065,9/28/09,2009,106
41.8911975,-92.0667943,10/1/09,2009,107
41.2269856,-93.926506,10/15/09,2009,108
41.8296783,-93.9321841,10/24/09,2009,109
42.3051172,-93.2986595,11/5/09,2009,110
42.3051172,-93.2986595,11/16/09,2009,111
